1 ROOM,2 ROOMS,3 ROOMS,4 ROOMS
2051.984251968504,2507.7651821862346,3234.955882352941,4509.558823529412
2100.368,2495.1169354838707,3203.362962962963,4427.7027027027025
2082.720930232558,2475.7,3222.8931297709923,4454.72972972973
2087.93984962406,2493.9592592592594,3249.6222222222223,4370.394736842105
2076.097744360902,2466.625,3243.8814814814814,4230.0
2064.241134751773,2505.503968253968,3334.623853211009,4428.1578947368425
2094.0827067669175,2485.5975609756097,3306.8130841121497,4533.023255813953
2084.29197080292,2511.208,3254.3153153153153,4566.363636363636
2070.6376811594205,2509.589641434263,3275.2685185185187,4637.111111111111
2079.6136363636365,2531.2430278884462,3301.6728971962616,4606.136363636364
2078.2631578947367,2538.9448818897636,3316.8598130841124,4622.558139534884
2078.2631578947367,2535.458823529412,3301.6574074074074,4622.558139534884
2077.1353383458645,2540.51968503937,3301.6574074074074,4622.558139534884
2080.2374100719426,2536.8654545454547,3355.864077669903,4553.837209302325
2177.8076923076924,2552.693430656934,3346.54,4668.928571428572
2192.6513157894738,2535.0486891385767,3386.757575757576,4656.9047619047615
2176.229299363057,2515.9268292682927,3371.6893203883496,4645.897435897436
2174.632258064516,2500.1943319838056,3372.8823529411766,4669.473684210527
2174.632258064516,2499.808943089431,3372.8823529411766,4669.473684210527
2098.2290076335876,2508.2580645161293,3360.2474226804125,4900.975609756098
2179.5407407407406,2553.5945945945946,3385.816513761468,5074.268292682927
2148.304,2546.169491525424,3491.826530612245,4994.142857142857
2107.6976744186045,2564.901234567901,3399.532110091743,4984.024390243902
2111.0615384615385,2565.312757201646,3414.1111111111113,5014.875
2071.820143884892,2567.6653225806454,3420.785046728972,4920.4098360655735
2110.512,2600.9678714859438,3482.201923076923,4714.928571428572
2087.1639344262294,2575.692,3434.3960396039606,4747.9
2166.409638554217,2573.3251028806585,3440.855769230769,4672.9
2186.1118421052633,2536.761316872428,3375.433628318584,4573.64406779661
2178.1184210526317,2557.3875,3416.151785714286,4571.1016949152545
2144.171232876712,2544.848360655738,3399.2017543859647,4568.770491803279
